transliteration,translation
nahīru I,"""nostril"" Bab., M [KA.BÚN]; MB ""spout"" for water;"
šūlû II,"""ordeal"" jB legap> ."
zabardabbu I,"(an official, liter.) ""bronze(- bowl) holder"" OAkk, Bab. [(LÚ.)ZABAR.DAB(.BA)];"
kalû I,"""held back, detained"" M of persons;"
nagapu I,"1. O ""sheaf, bundle""2. Mari mng. unkn."
mušqalpītu I,mng. unkn. jB;
sanhu I,"(part of an ornament) NB, pendant, of gold, silver"
makkarāniš I,"""as with a donkey-goad"" jB;"
hiššā'u I,"~ ""superb, fine"" O of god, person, horse; O also as fgap> Hiššātu(m)"
immanakku I,"(a kind of stone or sand) jB, NA [(NA4.)IM.MA.(AN.)NA];"
ṣāpītu I,"ṣāpâti ""watch-tower"" NA, NB for siege;"
qapû I,"""to turn upward"" NB G stat., of part of nose"
bārānû I,"""rebel"" jB(NA);"
hina I,"(a stone) Am., material of vessel;"
aru II,(a type of wool) jB legap> .
ṭehû II,(desig. of an activity in bread-making) j G
maqtam I,"""suddenly"" Mari;"
assammu I,"m. & f. ""goblet, drinking vessel"" OAkk, Bab. [AN.ZA.AM] of copper, silver, cedarwood;"
hašiānu I,"(a nt, phps.) ""thyme"" OAkk, Bab. esp. M med.;"
dalīlu II,'poor creature' (a type of frog) jB;
minihû I,mng. unkn. jB legap> .
agû III,(a garment) jB legap> .
tablittu I,"""sustenance, victuals, fodder"" OB for humans, animals;"
šēru VI,subst. mng. unkn. jB legap> .
2.6666 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am i li-bi i-ku-pí-a en-um-a-šur i-šu ú iš-tù ší-im 2 ma-na 2- <gap> GÍN AN.NA-ki-šu KÙ.BABBAR-áp-šu ṣa-hu-ru <gap> GÚ AN.NA i-ku-pí-a a-na en-um-a-šur e-zi-ib i-ta-dá-an AN.NA-ki-šu KÙ.BABBAR-áp-šu en-um-a-šur i-lá-qé ú 1 su-pá-nu-um ša KÙ.BABBAR a-na 1 ma-na 7 GÍN a-ha-ma ša 9 GÍN iš- <gap> -hu-lu-im a-na en-um-a-šur i-ku-pí-a e-zi-ib IGI kur-ub-a-šur IGI GÚ-tim DUMU a-lá-hi-im IGI ma-ri-ih-šu a-ha-ma a-na 1 ma-na-im KÙ.BABBAR ṣa-ru-pí-im a-šu-mì i-ku-pí-a a-na i-na-a DUMU a-mu-ra-a a-pu-ul i ba-áb ha-ra-ni-a <gap> -ir IGI <gap> a-hi <gap> li- <gap>,"<gap> Ikūn-pīya owes 2.6666 minas 5 shekels of refined silver to Ennam-Aššur; also, after the price in silver of his 2 minas 2gap> shekels of tin has been deducted Ikūn-pīya will leave gap> talents of tin for Ennam-Aššur. When the tin is sold, Ennam-Aššur will receive its value in silver. Also, 1 -container of silver for 1 mina 7 shekels; further, Ikūn-pīya will leave for Ennam-Aššur worth 9 shekels of gap> Witnessed by Kurub-Aššur, by Biltum son of Ali-ahum, by Marihšu. Further, I balanced for 1 mina of refined silver because of Ikūn-pīya with Innaya son of Amuraya. When I shall leave on my journey gap>"
sidirtu I,"""row"" M, NA s. šakānu ""to draw up line of battle""; s. sadāru ""to form a row"";"
šabburtu I,"""broken up, ughed land"" NA;"
-ši I,"""her"" (3 f. sg. acc. suff.) (cf. GAG §42g-k)"
mahāriš I,"1. OAkk ""in order to receive""2. jB ""in order to confront"""
mīru III,(part of the intestines) O
saddanakku I,"f. ""administrator of date orchards"" O [SANTANA];"
daddariš I,"""like centaury"" jB;"
ṭappu I,mng. unkn. OB legap> .;
šupû III,mng. unkn. jB legap> .
zaqānu I,"""to wear a beard, be bearded"" OAkk, OA, Bab. G [SU6] only infin. and stat., of men, goats, birds D stat. ~ G stat. OAkk, OA"
qannā'u I,"""jealous"" Bogh.;"
akiltu I,"""egap> pended goods, consumption"" NA;"
aširtu I,"1. ""check, inspection""; ""advice"" jB, NA [NA.RI]2. (a type of religious offering) OB"
šīqu III,"(an illness); šam š. ""nt of (= against) š."" jB"
parišû I,(a garment) NB
utû I,"""(Sum. weaving goddess) Uttu"" jB legap> ."
4 GÚ 58 ma-na a-wi-it šu-IŠTAR 24 ma-na 10 GÍN qá-dum ú-ku-ul-tim ú-ša-qí-il5 6.5 GÍN iš-tù a-al kà-ni-ší-i a-di tí-mì-il5-ki-a 2 GÍN KÙ.BABBAR ù 2 GÍN AN.NA ig-re ANŠE iš-tù tí-mì-il5-ki-a a-dí hu-ra-ma áš-qúl 4.5 GÍN KÙ.BABBAR ù 4.5 GÍN AN.NA ig-re ANŠE ù sá-ri-dí-im iš-tù hu-ra-ma a-dí kà-ni-iš áš-qúl mì-ma a-nim a-šu-mì šu-IŠTAR ú-ša-qí-il5,"4 talents 58 minas (of tin) the declared value of Šu-Ištar('s shipment), 24 minas 10 shekels (of tin), including the fodder, I paid. 6.5 shekels (of tin) from the Town of the Kaneshites until Timilkiya. 2 shekels of silver and 2 shekels of tin the hire of a donkey from Timilkiya until hurama I paid. 4.5 shekels of silver and 4.5 shekels of tin the hire of a donkey and a donkey-driver from hurama until Kanesh I paid. All this I paid for the sake of Šu-Ištar."
meški I,(a type of door) jB legap> .
Abi- <gap> I,<gap>
sahharu I,"""convoluted"" jB of intestines;"
haššāšu I,"""bridegroom"" jB legap> .;"
algumes I,(or algurit ) (a piece of jewellery) jB
kubburu I,"""very thick"" O legap> ., and in gap>s;"
amānītu I,"(a vegetable) O, Ug."
nazālu I,"""to pour out, drain away"" Bab., NA G (a) water, molten glass etc."
ipšu I,"""deed, action; sorcery"" [DÙ]; OA ""(building) works""; Mari ""manufacture(d item)""; Am., Ug. ""behaviour""; jB ""(magical) activities; sorceries""; Bab., NA i. nikkassī ""doing the accounts""; i. pî(m) ""utterance, command"", OB(lit.) ipšiš pî = ana i. pî;"
a-na a-mur-{d}UTU a-šùr-DU10 ù lá-qé-pí-im qí-bi-ma um-ma en-um-a-šùr-ma 20 2 GÚ SÍG.HI.A ku-nu-ki-a 94 maš-ki 10 ANŠE.HI.A ṣa-lá-mì ú ú-nu-sú-nu mì-ma a-nim ša-lim-ar-dí ù šé-ep-IŠTAR i-ra-dí-ú-ni-ku-nu-tí a-ma-kam ša-áp-tám ú maš-ki i hu-ur-ší-im pí-ih-a-ma ṣú-ha-ri ṭù-ur-da-nim bé-tám e-li-am ku-nu-ki-a pé-té-a-ma i-na ta-ma-lá-ki-im ½ ma-na KÙ.BABBAR a-mu-ra-am ú 1 ma-na URUDU SIG5 ku-un-kà-ma ú 1 TÚG tí-sà-ba-am SIG5 ú-tù-ur-tám ša a-na li-tab-ší-a a-šùr-DU10 iq-bi-a-ni a-na ší-mì-šu a-šùr-DU10 li-dí-na-ku-nu-tí-ma iš-tí KÙ.BABBAR a-na ṣú-ha-ri dí-na-ma lu-ub-lu-nim ú-ma-kál lá i-bi-tù ú du-ug-li uṣ-ra-šu-nu-tí bi-tám i-na ku-nu-ki-ku-nu ku-un-kà,"To Amur-Šamaš, Aššur-ṭāb and Lā-qēp from Ennam-Aššur: 22 talents of wool under my seal, 94 fleeces, 10 black donkeys and their harness - all this Šalim-wardī and Šēp-Ištar lead to you. Lock the wool and the hides in the store room there and send me the servants. Open the upper storey sealed by me, and seal in the -container ½ mina of checked silver and 1 mina of good copper; also, Aššur-ṭāb should give you for sale 1 -tegap> tile of egap> tra-fine quality which he promised me for my clothing, and then give it together with the silver to the servants so they may bring it. They should not rest a e night. Also, as to the -imments, guard them. Seal the house with your own seals."
ṣadāru I,"~ ""to be (ced) askew, slant"" jB G of part of body D ""make"" eyes ""squint""; stat. of nose, mouth, dentition ""is crooked"""
nurpiannuhlu I,"(a prof., rank) Nuzi;"
tashīru I,"(a twisted reed artefact) MA, jB;"
mušte''û I,"""repeatedly searching, deliberate"" jB;"
dunā'ū I,"tant. ~ ""deductions"" OA;"
ēniqu I,"f. ēniqtu ""suckling, unweaned child"" NB;"
akûtu I,"""powerlessness"";"
kizītu I,(or kizzutu ) mng. uncl. MA in sūti ša ki-zi-ti (a kind of sūtu measure); also (an emblem)
šunnâtu I,"f. ""alteration, change"" jB ina lā šunnâte ""without change"";"
eršūtu I,"""wisdom"" jB;"
agūgūtu I,"""status of agūgu"" jB"
adaru I,(a vessel) NB of silver
nargallu I,"""chief musician"" OAkk, O, NA [(LÚ.)NAR.GAL];"
ta''ittu I,"""information, report"" OA, O;"
tarnu I,"""mast"" ;"
ištenūtu I,"""e entity"" Am., Nuzi, Bogh., Ug. 1. ""(indivisible) unity"" of kings, fields2. ""e set"" of ral items, e.g. garments, armour (cf. ištēnû)3. Am., Nuzi adv. ""for the first time"""
ū I,"""or"" 1. between subst.s, OB še'am kaspam ū bīšam ""grain, silver or goods"" (cf. u 1)2. between clauses, OA batiq ū wattur ""be it cheap or dear""; ""(whether) gap> or gap> "" (kī(ma)/ū) gap> ū gap> , e.g. ū sāmtum ul īde ū uqnûm ul īde ""I do not know whether it be carnelian, or lapis lazuli""; with lū cf. lū C cf. ūl Iūla Iūl"
tanūhtu I,(a payment) OB;
ka'urrāku I,"""carver of reliefs"" jB legap> .;"
erû I,"""eagle"" Bab. [TI8.MUŠEN] also vulture ; Qatna ""eagle (figure)"" of gold; astr. ""constellation Aquila"" [MUL.TI8.MUŠEN];"
tamû III,"""to be amazed"" OB stat. tamu"
<gap> za-ku-ú-um e-zi-ib 2 ma-na ša DAM.GÀR ŠÀ.BA a ma-lá té-er-tí-kà 4 ma-na 10 GÍN ša ik-ri-bi4 a-na a-ta-a-a ù GAL-a-šur 2 ma-na 8.5 GÍN a-na hi-na-a ú a-ta-a-a ½ ma-na a-na a-šur-DU10 ⅔ ma-na 1 GÍN a-na a-ta-a-a ⅓ ma-na a-na i-da-ZU ⅓ ma-na a-na a-šùr-ba-ni mì-ma a-nim ku-nu-ki GAL-a-šur na-ší a-na 2 ANŠE ⅓ ma-na 3 GÍN ni-iš-qúl 12 GÍN KÙ a-na kà-ší-im ú ma-ṣa-ra-tim <gap> en-nam-a-šur <gap> ŠÀ.BA ⅓ ma-na 6 GÍN KÙ.BABBAR <gap> ki <gap> URUDU ší-kam GAL-a-šur,"<gap> gap> purified, apart from 2 minas of the . Thereof, in accordance with your instruction, 4 minas 10 shekels of tem funds for Ataya and Rabi-Aššur; 2 minas 8.5 shekels for hinnāya and Ataya; ½ mina for Aššur-ṭāb; 41 shekels for Ataya; ⅓ mina for I-da-Suen; ⅓ mina for Aššur-bāni - all this under my seals Rabi-Aššur is bringing. For 2 donkeys we paid 23 shekels, 12 shekels of silver for the official and the guarding gap> Ennam-Aššurgap> Thereof 26 shekels of silver gap> -copper Rabi-Aššur."
mutaqqinu I,(a gardening tool) NB;
ni'tu I,(a weapon) ;
šaršarānu I,"(a capacity measure) OA, smaller than a karpatum"
mūdânūtu I,"in lā m. ""ignorance"" NA;"
uprû I,(a headdress) MB;
kamāsu II,"""to kneel, squat down"" Bab., M [(DU10.)GAM] G (i) ""kneel, crouch"" before (= esp. šapal, mahar) god, king; of invalid; of part of body; of cow Gtn iter. Gt stat. ~ G stat. ""is crouched, kneeling"" of person, animal; pret. MA, of cow D stat. ""is kneeling"", NA ""resides, lives"" Dt ""kneel down"" Š ""make to kneel, squat"" in cult, enemy in submission N ~ Dt Ntn iter. of N ""constantly be submissive"""
ušeštu I,mng. uncl. OB legap> .
šububu I,(a weapon or tool) Am.
kabāku I,(a topog. feature) NA
urballu I,"""quail"" jB [ŠEN.ŠEN.BAL.MUŠEN]"
šigiltu I,"~ ""misappropriation"" Bab. esp. to take (ekēmu, našû etc.) ana š.;"
uppu I,"""tube, socket etc."" Bab., NA [(GIŠ.)MUD] ""socket"" for door-bolt, pickhandle; ""tube, pipette"" of metal, for liquids; u. ahi(m) ""armpit""; (part of intestines)"
pus'u I,"""heavy perspirer"" OB legap> ."
i-na ša-pá-at na-ri-im iš-tí-in e-me-ra-am a-qí-i iš-tí-in i-na ur-šu-ú a-na IŠTAR be-lá-at kà-le-ta a-qí-i iš-tí-in i-na ma-ma ILLAT-tum iq-be-ma a-qí-i 15 GÍN AN.NA a-na e-ri-qí-im áš-qúl,On the river-bank I sacrificed one sheep;
ezziš I,"""furiously, fiercely"" Bab. [ŠÚR-iš] of shouting, frowning (nekelmû);"
hummuṭu I,"""quick"" NB, ""early-bearing"" of palm tree;"
šalālu III,"""to commit an act of impudence"" OA; jB legap> . G (pres. išallal) Gt as G D legap> . only"
tukku I,"f. ""alarm, warning"" Bab.; with šemû(m) (""to hear""), nadû(m) (""to convey"");"
zikurudû I,"liter. ""cutting of life"" Bogh., jB, NA [ZI.KU5.RU.DA; occas. ZI.KU.RU.DA, ZI!.GUR.RU.DA] mag. (a type of evil spell);"
arsikku I,(a kind of millet) jB legap> .;
utullu I,"f. ""chief herdsman"" O, MA [Ú.TÚL; UTUL] of cows, sheep; transf., desig. of deity, king;"
qalliš I,"""lightly"" jB; of oath-taking etc.; ""slightly"";"
um-ma ša-lim-a-šùr-ma a-na i-dí-a-bi-im i-tur4-DINGIR i-na-ah-ì-lí en-um-a-šùr ù a-lá-hi-im qí-bi-ma 6 me-at 3 ku-ta-nu ŠÀ.BA 1 me-at ku-ta-nu ta-ar-dí-ú-tum a-ha-ma 35 ku-ta-nu SIG5 DIRI-tum ŠÀ.BA 3 ku-ta-nu ša i-na ku-nu-uk ili5-we-da-ku kà-an-ku-ni i-a-tí i-lu-ku a-ha-ma 46 TÚG a-bar-ni-ú lu kam-sú-tum lu ni-ib-ra-ru ša ku-ta-ni SIG5 DIRI ŠU.NÍGIN 6 me-at 84 TÚG.HI.A e-zi-ib ša kà-ṣa-ri 20 GÚ AN.NA ku-nu-ku ù 5 ma-na.TA it-ra-sú qá-dum AN.NA qá-tim 34 ANŠE.HI.A ṣa-lá-mu ú ú-nu-sú-nu 2 TÚG ša sà-e-tim 2 ma-na KÙ.BABBAR ṣa-ru-pá-am 8 ku-sí-a-tim ma-al-ku-a-tum 2 bu-ra-e SIG5 1 GÚ hu-ša-e <gap> 40- <gap> tim <gap> ma 3 TÚG <gap> 2 ša kà-ṣa-ri <gap> a-lá-hu-um šé-ep-IŠTAR <gap> i-ra-de8-ú-ni-ku-nu-tí a-hu-a a-tù-nu i-na re-i-iš ú-nu-tí-a i-na É.GAL-lim i-zi-za-ma mì-ma ší-lu-tum lá i-ba-ší-ma li-bi4 lá i-ma-ra-aṣ ki-ma ú-nu-tí i-na É.GAL-lim ur-da-ni 6 GÚ 6 ma-na AN.NA ku-nu-ki ú,"<gap> From Šalim-Aššur to Iddin-abum, Itūr-ilī, Inah-ilī, Ennam-Aššur and Ali-ahum: 603, thereof 100 of secondary quality; further, 35 of egap> tra-fine quality, thereof 3 that were sealed with Ilī-wēdāku's seal are reserved for me; further, 46 -tegap> tiles, both and of of egap> tra-fine quality - in all 684 tegap> tiles, apart from those belonging to the harnessors; 20 talents of sealed tin and 5 minas each of egap> tras, together with the egap> pense tin; 34 black donkeys and their harness, 2 tegap> tiles of the, 2 minas of refined silver, 8 robes of -type, 2 of fine quality, 1 talent of scrap metal gap> 3 tegap> tiles gap> 2 belonging to the harnessors gap> Ali-ahum and Šēp-Ištar bring to you. My dear brothers, assist with my goods in the palace so there will be no unlawful activity and I shall not become worried. When my goods come down from the palace, give 6 talents 6 minas of sealed tin and 30 as a share to Ennam-Bēlum, and in accordance with his tablet (stating) that Ennam-Bēlum must pay 55.6666 minas 5 shekels of refined silver within 13 months, send 2 talents and 30 to Tišmurna to Ennānum so he can make some silver. Give 2 talents of tin and 30 to Aššuriš-tikal, 2 talents of tin and 30 to hannaya and let them make at least 10 minas of silver. The rest of my tin gap> that has been marked -tin"" on the front of the bundles gap> Ennam-Aššur and Ali-ahum should have them enter gap> Give instructions gap> of the copies of my tablets gap> have them pay so some 10 minas of silver gap> will enter and I shall take my consignment gap> of Iddin-Kūbum and Ennam-Aššur gap> """
muqqu II,"""to weary, tire; wane"" O; OB ""obliterate, disregard"" fault, crime; ""be slack"", ""delay"" journey, action; of person ""age""; MB in gap>; stat. jB of troops, limbs ""are slack"";"
imriqqu I,"""clay sealing, bulla"" jB legap> .;"
marmaru I,"""strong"" jB legap> ."
subu'īu I,"""seven-year-old"" Nuzi [7- ];"
watirītu I,"(or witirītu) (an object) Nuzi, in pairs;"
mubarrimu I,"""worker of coloured tegap> tiles"" NA legap> .;"
labbūnu I,f. (a stand or pedestal) M for statues; in bīt (d)l. (a religious building); also in gap>;
um-ma šu-ta-mu-zi e-lá-a en-um-a-šùr ù lá-ma-sí-ma a-na en-um-a-šùr ù a-lá-hi-im qí-bi4-ma a-ma-la na-áš-pé-er-tí-ku-nu ra-bi-ṣa-am ni-hu-za-ku-nu-tí a-bi-a DUMU be-e-be ra-bi4-iṣ-ni i-na ša-am-ší ša ra-bi-ṣú-um e-ra-ba-ni ih-da-ma i-zi-za-ma lu DAM.GÀR a-bi-ku-nu lu ša a-wa-tám tí-šu-a-ni ra-bi-ṣú-um i-na ša-ha-tí-ku-nu li-zi-iz-ma i-na KÙ.BABBAR pá-ni-ma a-šar ta-ma-ha-ra-ni KÙ.BABBAR ša É a-lim{ki} šu-ta-aṣ-bi-ta-ma ma-lá a-bu-ku-nu ha-bu-lu KÙ.BABBAR ku-un-kà-ma šé-bi-lá-nim ra-bi4-ṣú-um iš-tí-ku-nu li-ik-nu-uk-ma KÙ.BABBAR šé-bi-lá-nim-ma li-ma-am lu nu-ša-bi ṣí-ba-at ṣí-ib-tim lá i-ma-i-da-ku-nu-tí-ma li-ba-ku-nu e im-ra-aṣ ma-lá e-ṭá-ar É a-bi4-ku-nu ep-ša šu-ma ta-da-ga-lá-ma ṭup-pu ha-ru-mu-tum ú ba-ba-a-tum ru-qá-tum i-ba-ší-ú ṭup-pí ku-un-kà-ma a-na DUMU um-me-a-nim ke-nim ša ki-ma ku-nu-tí pí-iq-da-ma u4-me-e-ku-nu ba-lu-um mì-ma-ma lá tù-ri-qá-ma lá ta-sà-hu-ra iš-tí ra,"From Šu-Tammuzī, Elaya, Ennam-Aššur and Lamassī to Ennam-Aššur and Ali-ahum: In accordance with your missive we have hired a attorney for you; Abiya son of Bebe is our attorney. Take care to stand by the very day the attorney arrives, and have the attorney assist you both with regard to the customers of your father and those with whom you have an argument, and of the first silver, wherever you receive it, collect the silver of the City Hall, as much as your father owes, seal the silver and send it; the attorney should seal it together with you, and then send the silver so we can satisfy the eponym. The compound interest should not grow too big for you and make you unhappy. Act so as to save your father's house. If you observe that there are certified deeds and credits outstanding on long terms, then seal the tablets, entrust them to a trustworthy affiliated trader, like yourselves, and do not egap> tend your terms without special reasons, do not delay but set out and come together with the attorney. Here we seized (witnesses) against Šu-Kūbum and said: Did Šalim-Aššur give you 5 minas of silver out of those in your tablet"" He refused to confirm to us the silver, what you will declare there. ⅔ mina of silver: hire for the attorney; he received ⅓ mina of silver here and will receive ⅓ mina there. We gave 16.3333 shekels of silver for their disposal; 36.6666 shekels of silver, their egap> penses, we borrowed in a merchant-house against interest. Seal silver there and send it with the first transport so we can pay back the merchant. Also, send at least 1 or 2 minas of silver; send it so we can store 40 litres of grain before you come. Elaya says: If you are truly my brothers, you must seal the proceeds from the tegap> tile in silver and do me a favour. """
herṣu I,"""fragment, cutting"" O, NA [GIG] ""cut piece"" of tree, of measuring-vessel; (a cut of meat); ""track, imprint"", ""rut"" of wheel;"
mušālittu I,"""midwife"" jB legap> .;"
pilpilû I,"""homosegap> ual lover"" jB legap> .;"
ešēru I,"""to be well; be straight, fair; direct o.s. (towards)"" G (i) [SI.SÁ; NA, NB also GIŠ] ""go well, be successful"" of crop, harvest, animal breeding; human reproduction, birth; ""be(come) healthy""; of house, city, land, journey ""prosper""; of person ""be successful""; of divination, omens, wind ""be favourable""; ""be(come) right, normal""; of gut, i.e. be evacuated; of sceptre; (neg.) of Lamaštu; ""direct o.s. towards, make straight for"" (+ ana.), of demon to person, army to destruction; also + ana pān, eli; ""go straight along"" street (= acc.); OA of goods ""come straight to"" s.o. Š (pret. ušēšir, OAkk, OB(poet.) ušūšir) [SI.SÁ; GIŠ] ""put in good condition, in order"" ugh, cart, house; Am. ""prepare, get ready""; MA ""process"" food; ""direct"" water, canal; ""sweep (out)"" house, ground; ""purge"" intestines; ""direct aright"" feet, person, person's way; ""make successful, cause to prosper""; ""put right, make straight"", stat. of parts of liver; ""steer"" s.o. (on right way); ""make straight"" the way, also ellipt. ""go straight ahead"" Št1 pass. of Š [SI.SÁ] ""be put in order""; of person ""be guided aright""; of cattle ""be steered straight""; ""have straightforward (childbirth)"" Št2 ""put, keep in order"", ""get ready"" weapons; house, road; ""flatten out"" unevennesses; ""give correct decision"", ""formulate correct"" ns; ""get right"" tegap> t, language; ""carry out correctly"" ritual, work; ""cause to go well"" animal, human procreation; ""guide (o.'s hand) aright""; ""lead"" person, peo ""aright"", ""secure justice for"" s.o.; harrāna (etc.) š. ""take to the road""; ellipt. ""go off, start out""; of birth ""be (born) straightforwardly"" N ~ G ""become prosperous"", ""become successful""; ""make towards, go for"" s.o."
3 GÍN KÙ.BABBAR iš-tí eb-lá-i-im ša SÍG.HI.A il5-qé-ú,"3 shekels of silver due from the man from Ebla, who took wool."
arāru III,"""to be convulsed"" Bab. G (u, pres. also i'arru) [UR4] of human beings, demons, animals, earth(quake) ""tremble, shake"", lit. ""suffer cramp, be convulsed""; med., of parts of body (freq. harāru, different word ); of sea, rivers ""be rough, muddy"" Gtn iter. D ~ ""stir up, frighten""; om., med. in stat. of parts of body ""suffers cramp, convulses"" Dt ~ ""be stirred up, convulsed"" N ingress. ""begin to convulse"" Ntn iter. of N and G [UR4.UR4] 3 ariru Iarurtu Itārūru I the verbs erēru and harāru I cannot yet be differentiated in every casecf. also tarāru I"
maṣû I,"""to correspond, com with (s.th.); be sufficient, suffice"" G (i) 1. after mala, NA (am)mar (of field etc.) ""be as much as it amounts to, is worth""; ""be worth as much as s.o. else""; mala, ammar libbi- m. ""achieve wishes""; after infin. ""be able to""2. with ana or dat. ""reach"" o.'s goal; stat. ""is sufficient""3. with acc. ""reach"" a number or a time4. OA ""take responsibility for""5. with kīma ""become equal to""6. kī maṣi ""how much (does it correspond to)"", math. also after prep. (cf. maṣi)7. absol. maṣi ""it is enough!"", also in gap>; OA before laqā'um and ṣabātum ""be ready, in a position to take""D ""make available, provide"" (cf. wuṣṣûm), OB qātam m. ""make o.s. available, get involved"" Dt OA ""be made available"" Š caus. of G ""cause to correspond""; ""cause to suffice""; jB ""prepare (properly)"" drug migap> ture; NA ""be able to"" Štn uncl. Št 1. ""set about doing s.th.""2. stat. ""is within reach, available"""
